"2412319-7","BOMBA DE ACEITE","CIVIC",,"taiwan",1998,1998,1,26000,"MANNHEIM S.A"
"2412225-5","BOMBA DE AGUA","CIVIC",,"japon",1993,1993,1,10980,"MANNHEIM S.A"
"2412227-1","BOMBA DE AGUA","CIVIC",,"taiwan",1993,1993,1,4490,"MANNHEIM S.A"
"2454388-9","BUJE BANDEJA INFERIOR LH/RH","CRV",,,,,1,3380,"MANNHEIM S.A"
"2454391-9","BUJE BANDEJA INFERIOR LH/RH","CRV",,,,,1,2930,"MANNHEIM S.A"
"2454317-K","BUJE BANDEJA INFERIOR METALICO LH/RH","CIVIC",,,,,1,1200,"MANNHEIM S.A"
"4033-1232","BUJES TRASEROS CIVIC 52370-SH3-000","CIVIC",,,1998,1998,2,4500,"IMPORTADORA ORIENTE"
"903093-K","BUJIA K16 PR -U11",,,,,,18,698,"MANNHEIM S.A"
"2412505-K","BULBO ELECTRO VENTILADOR","CIVIC",,,,,1,4600,"MANNHEIM S.A"
"2412505-K","BULBO ELECTRO VENTILADOR","CIVIC",,,,,4,4600,"MANNHEIM S.A"
"2492170-0","CAPOT","CIVIC",,,,,"AGOTADO",45800,"MANNHEIM S.A"
"2492175-1","CAPOT VERSION AMERICANA","CIVIC",,,,,1,32600,"MANNHEIM S.A"
,"CHAPA COMPLETA R","FIT",,,2009,2012,1,100000,"USADO"
,"CONDENSADOR AIRE","CRV",,,2008,2010,1,120000,"USADO"
,"CONDENSADOR DE AIRE","ACCORD",,"2.4",2004,2007,1,120000,"USADO"
,"CONDENSADOR DE AIRE","CRV",,,2008,2010,1,120000,"USADO"
,"CONTROL CALEFACCION","CRV",,,2002,2004,1,70000,"ORIGINAL USADO"
"5013813-5","CORREA ACCESORIOS 4PK-820","CIVIC;CRV",,"2.0",1998,1998,2,1344,"MANNHEIM S.A"
"2413048-7","CORREA DE DISTRI 112X24 (CONTINENTAL .MEX)","ACCORD",,"2.2",,,1,6960,"MANNHEIM S.A"
"2413022-3","CORREA DE DISTRI 113X24 DTES.(continental.MEX)","ACCORD",,"2.0",1990,1993,1,4970,"MANNHEIM S.A"
"2413040-1","CORREA DE DISTRIBUCION 104 DTES. X 22","CIVIC",,"mexico",2002,2002,1,6750,"MANNHEIM S.A"
"2413036-3","CORREA DE DISTRIBUCION 104 DTES. X 24","CIVIC",,,,,1,4580,"MANNHEIM S.A"
"2413044-4","CORREA DE DISTRIBUCION 125 DTES. X 26","CRV;INTEGRA",,"mexico",1998,1998,1,7600,"MANNHEIM S.A"
"2413036-3","CORREA DITRIBUCION 124X24","CIVIC",,"D16",1992,1995,"AGOTADO",4470,"MANNHEIM S.A"
"2413060-6","CORREA DITRIBUCION 55X24","ACCORD",,"2.3",,,1,7370,"MANNHEIM S.A"
"2413052-5","CORREA EJE COMPENSADOR 70 DTES.","ACCORD",,,,,1,3200,"MANNHEIM S.A"
,"COTROL DE CALEFACCION","CIVIC",,,1998,1998,1,40000,"USADO"
,"CREMALLERA DE ALZAVIDRIO R","FIT",,,2009,2012,1,100000,"USADO"
,"CUBRE FRONTAL DEL.","CIVIC",,,2013,2014,1,50000,"USADO"
,"CUBRE MLETERO","ACCORD",,,2008,2008,1,45000,"USADO"
,"CUBRE RUEDA REPUESTO INT.","FIT",,,2004,2008,1,40000,"USADO"
